user_type,code,type,name,parent_id,note,reconcile,active
Regular,13101001,regular,"compañías vinculadas",131010,,FALSE,TRUE
Regular,13101501,regular,"accionistas o socios",131015,,FALSE,TRUE
Regular,13102001,regular,particulares,131020,,FALSE,TRUE
Regular,13109501,regular,otras,131095,,FALSE,TRUE
Regular,13150501,regular,ventas,131505,,FALSE,TRUE
Regular,13151001,regular,"pagos a nombre de casa matriz",131510,,FALSE,TRUE
Regular,13151501,regular,"valores recibidos por casa matriz",131515,,FALSE,TRUE
Regular,13152001,regular,préstamos,131520,,FALSE,TRUE
Regular,13200501,regular,filiales,132005,,FALSE,TRUE
Regular,13201001,regular,subsidiarias,132010,,FALSE,TRUE
Regular,13201501,regular,sucursales,132015,,FALSE,TRUE
Regular,13230001,regular,"cuentas por cobrar a directores",1323,,FALSE,TRUE
Regular,13250501,regular,"a socios",132505,,FALSE,TRUE
Regular,13251001,regular,"a accionistas",132510,,FALSE,TRUE
Regular,13280001,regular,"aportes por cobrar",1328,,FALSE,TRUE
Regular,13300501,regular,"a proveedores",133005,,FALSE,TRUE
Regular,13301001,regular,"a contratistas",133010,,FALSE,TRUE
Regular,13301501,regular,"a trabajadores",133015,,FALSE,TRUE
Regular,13302001,regular,"a agentes",133020,,FALSE,TRUE
Regular,13302501,regular,"a concesionarios",133025,,FALSE,TRUE
Regular,13303001,regular,"de adjudicaciones",133030,,FALSE,TRUE
Regular,13309501,regular,otros,133095,,FALSE,TRUE
Regular,13309901,regular,"ajustes por inflación",133099,,FALSE,TRUE
Regular,13320001,regular,"cuentas de operación conjunta",1332,,FALSE,TRUE
Regular,13350501,regular,"para importaciones",133505,,FALSE,TRUE
Regular,13351001,regular,"para servicios",133510,,FALSE,TRUE
Regular,13351501,regular,"para contratos",133515,,FALSE,TRUE
Regular,13352001,regular,"para responsabilidades",133520,,FALSE,TRUE
Regular,13352501,regular,"para juicios ejecutivos",133525,,FALSE,TRUE
Regular,13353001,regular,"para adquisición de acciones, cuotas o derechos sociales",133530,,FALSE,TRUE
Regular,13353501,regular,"en garantía",133535,,FALSE,TRUE
Regular,13359501,regular,otros,133595,,FALSE,TRUE
Regular,13400501,regular,"de bienes raíces",134005,,FALSE,TRUE
Regular,13401001,regular,"de maquinaria y equipo",134010,,FALSE,TRUE
Regular,13401501,regular,"de flota y equipo de transporte",134015,,FALSE,TRUE
Regular,13402001,regular,"de flota y equipo aéreo",134020,,FALSE,TRUE
Regular,13402501,regular,"de flota y equipo férreo",134025,,FALSE,TRUE
Regular,13403001,regular,"de flota y equipo fluvial y/o marítimo",134030,,FALSE,TRUE
Regular,13403501,regular,"de semovientes",134035,,FALSE,TRUE
Regular,13409501,regular,"de otros bienes",134095,,FALSE,TRUE
